"Lon";"Lat";"scientificName";"year";"month";"day";"accessRights";"bibliographicCitation";"X_leaflet_id";"layerId";"edit_id"
"28";10.9173;42.3698;"Paramuricea clavata";"2015";NA;NA;"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Linares, Cristina; Figuerola, Laura; Gómez-Gras, Daniel; Pagès-Escolà, Marta; Olvera, Àngela, Aubach, Àlex; Amate, Roger; Figuerola, Blanca; Kersting, Diego; Ledoux, Jean-Baptiste; López-Sanz, Àngel; López-Sendino, Paula; Medrano, Alba; Garrabou, Joaquim; (2020); CorMedNet- Distribution and demographic data of habitat-forming invertebrate species from Mediterranean coralligenous assemblages between 1882 and 2019 https://dx.doi.org/10.14284/467 NA CorMedNet1 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.819617";211;"211";"211"
"29";9.21798;44.29822;"Paramuricea clavata";"2019";"9";"30";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"30";11.09166;42.40111;"Paramuricea clavata";"2014";"5";"1";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"31";3.205;41.8862;"Paramuricea clavata";"2017";"10";"13";"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Chic, Oscar; Garrabou, Joaquim. (2020) Global Marine biodiversity data from Seawatchers Marine Citizen Science Platform between 1980 and 2020 https://dx.doi.org/10.14284/519 NA Coral Alert! (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.505972";211;"211";"211"
"32";5.33;43.2126;"Paramuricea clavata";"2014";"6";"23";"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Chic, Oscar; Garrabou, Joaquim. (2020) Global Marine biodiversity data from Seawatchers Marine Citizen Science Platform between 1980 and 2020 https://dx.doi.org/10.14284/519 NA Coral Alert! (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.505972";211;"211";"211"
"33";14.32508;40.61855;"Paramuricea clavata";"2011";"6";"2";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"34";13.18025;38.73024;"Paramuricea clavata";"2014";"8";"26";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"35";9.14452;44.32054;"Paramuricea clavata";"2014";"9";"10";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"36";9.85;44.02;"Paramuricea clavata";"1999";NA;NA;"Attribution-NonCommercial-ShareAlike (CC BY-NC-SA)";"Garrabou, Joaquim; Bazairi, Hocein; Espinosa, Free; Ramdani, Mohamed; Grimes, Samir; Benabdi, Mouloud; Ben Souissi, Jamila; Soufi, Emna; Khamassi, Faten; Ghanem, Raouia; Ocaña, Óscar; Ramos Esplá, Alfonso A.; Izquierdo, Andrés; Antón, Irene; Portillo, Esther; Barberá, Carmen; Marbà, Núria; Hendriks, Iris E.; Duarte, Carlos M.; Cebrian, Emma; Deudero Company, María de la Salud; Díaz, David; Vázquez-Luis, Maite; Álvarez, Elvira; Linares, Cristina; Hereu, Bernat; Kersting, D. K.; Bensoussan, Nathaniel; Gómez-Gras, D.; Azzurro, Ernesto; Ledoux, J. B.; Gori, Andrea; Viladrich, Nuria; Sartoretto, Stéphane; Pairaud, Ivane Lilian; Ruitton, Sandrine; Fraschetti, Simonetta; Rivetti, Irene; Cerrano, Carlo; Ponti, Massimo; Bavestrello, G.; Cattaneo-Vietti, R.; Bo, Marzia; Bertolino, Marco; Montefalcone, Monica; Kipson, Silvija; Bakran-Petricioli, Tatjana; Gerovasileiou, Vasilis; Sini, Maria; Tuney Kizilkaya, Inci; Zilizkaya, Zafer; Eda Topçu, N.; Rilov, Gil ; 2018; \"MME-T-MEDNet: Mass mortality events in Mediterranean marine coastal ecosystems [Dataset]\"; DIGITAL.CSIC; http://dx.doi.org/10.20350/digitalCSIC/8575 NA MME-T-MEDNet: Mass mortality events in Mediterranean marine coastal ecosystems (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:22.072661";211;"211";"211"
"37";9.145;44.32149;"Paramuricea clavata";"2014";"4";"1";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"38";8.45972;44.26583;"Paramuricea clavata";"2011";"9";"29";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"39";9.14501;44.32057;"Paramuricea clavata";"2016";NA;NA;"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Linares, Cristina; Figuerola, Laura; Gómez-Gras, Daniel; Pagès-Escolà, Marta; Olvera, Àngela, Aubach, Àlex; Amate, Roger; Figuerola, Blanca; Kersting, Diego; Ledoux, Jean-Baptiste; López-Sanz, Àngel; López-Sendino, Paula; Medrano, Alba; Garrabou, Joaquim; (2020); CorMedNet- Distribution and demographic data of habitat-forming invertebrate species from Mediterranean coralligenous assemblages between 1882 and 2019 https://dx.doi.org/10.14284/467 NA CorMedNet1 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.819617";211;"211";"211"
"40";9.21798;44.29822;"Paramuricea clavata";"2014";"8";"27";"This work is licensed under a  Creative Commons Attribution (CC-BY) 4.0 License";"Ponti, M., Turicchia, E., Rossi, G., Cerrano, C.; Reef Check Italia onlus; (2020): Reef Check Med - key Mediterranean marine species 2001-2020 https://dx.doi.org/10.14284/468 NA Reef Check Med - key Mediterranean marine species 2001-2020 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.282079";211;"211";"211"
"41";8.5509;42.3496;"Paramuricea clavata";NA;NA;NA;"This work is licensed under a  Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License";"Linares, Cristina; Figuerola, Laura; Gómez-Gras, Daniel; Pagès-Escolà, Marta; Olvera, Àngela, Aubach, Àlex; Amate, Roger; Figuerola, Blanca; Kersting, Diego; Ledoux, Jean-Baptiste; López-Sanz, Àngel; López-Sendino, Paula; Medrano, Alba; Garrabou, Joaquim; (2020); CorMedNet- Distribution and demographic data of habitat-forming invertebrate species from Mediterranean coralligenous assemblages between 1882 and 2019 https://dx.doi.org/10.14284/467 NA CorMedNet1 (Available: Ocean Biogeographic Information System. Intergovernmental Oceanographic Commission of UNESCO. www.iobis.org. Accessed: 2026-04-20 16:24:21.819617";211;"211";"211"
